ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
13679	a k a ɾ á - - - - - -	AKARA	427	3150	inhame1	CARÁ ROOT / YAM	Tupinambá	0	akaɾá	akará/a	64	Tupinambá_	YAM	64.A.V 64.K.C 64.A.V 64.R.C 64.A.V	XBYBZ	7 1 7 5 7	a k a ɾ á	akaɾá	1.5 1.75 1.3 1.75 0.8		
13680	- - - u β i ʃ a b -	YBISABA	445	3255	chefecacique	CHIEF / MASTER / OWNER	Tupinambá	0	uβiʃab	uβiʃaβa	64	Tupinambá_	CHIEF	64.Y.V 64.B.C 64.I.V 64.S.C 64.A.V 64.B.C 64.A.V	XBYBYBZ	7 3 7 3 7 3 7	u β i ʃ a b	uβiʃab	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
13681	a k a j u - -	AKAJY	434	3191	caju1	CASHEW	Tupinambá	0	akaju	akaju	64	Tupinambá_	CASHEW	64.A.V 64.K.C 64.A.V 64.J.C 64.Y.V	XBYBZ	7 1 7 6 7	a k a j u	akaju	1.5 1.75 1.3 1.75 0.8		
13682	p i t - a ŋ a	PITANA	461	1927	crianca1	CHILD	Tupinambá	0	pitaŋa	pitaŋa	64	Tupinambá_	CHILD	64.P.C 64.I.V 64.T.C 64.A.V 64.N.C 64.A.V	AXBYBZ	1 7 1 7 4 7	p i t a ŋ a	pitaŋa	2.0 1.5 1.75 1.3 1.75 0.8		
13683	j a k ɨ ɾ a n a -	JAKIRANA	463	3326	cigarra1	CICADA	Tupinambá	0	jakɨɾana	jakɨrana	64	Tupinambá_	CICADA	64.J.C 64.A.V 64.K.C 64.I.V 64.R.C 64.A.V 64.N.C 64.A.V	AXBYBYBZ	6 7 1 7 5 7 4 7	j a k ɨ ɾ a n a	jakɨɾana	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
13684	- a - - p ẽ	APE	469	3361	garra2	NAIL / CLAW	Tupinambá	0	apẽ	apẽ	64	Tupinambá_	CLAW	64.A.V 64.P.C 64.E.V	XBZ	7 1 7	a p ẽ	apẽ	1.5 1.75 0.8		
13685	t u - - - - + j u k -	TYJYK	475	3397 538	barroargila1	MUD	Tupinambá	0	tujuk	tujuk	64	Tupinambá_	MUD ROTTEN	64.T.C 64.Y.V 64.J.C 64.Y.V 64.K.c	AXBYN	1 7 6 7 1	t u + j u k	tujuk	2.0 1.5 1.75 1.3 0.8		
13686	ɨ β a - - - - - - - + t - i ŋ -	IBA_TIN	484	3416 18939	nuvem12	CLOUD	Tupinambá	0	ɨβa-tiŋ	ɨβa+tin	64	Tupinambá_	SKY _WHITE	64.I.V 64.B.C 64.A.V 64._._ 64.T.C 64.I.V 64.N.c	XBZ_AXN	7 3 7 9 1 7 4	ɨ β a + t i ŋ	ɨβa-tiŋ	1.5 1.75 0.8 0.0 2.0 1.5 0.8		
13687	kʷ a t - - i -	KATI	493	3488	quati1	COATI	Tupinambá	0	kʷati	kʷati	64	Tupinambá_	COATI	64.K.C 64.A.V 64.T.C 64.I.V	AXBZ	1 7 1 7	kʷ a t i	kʷati	2.0 1.5 1.75 0.8	Cariban loan in Proto-Tupí-Guaraní	YES
13688	- a ɾ a β e - - - - -	ARABE	506	3544	barata1	COCKROACH	Tupinambá	0	aɾaβe	araβe	64	Tupinambá_	COCKROACH	64.A.V 64.R.C 64.A.V 64.B.C 64.E.V	XBYBZ	7 5 7 3 7	a ɾ a β e	aɾaβe	1.5 1.75 1.3 1.75 0.8	Carib loan into Proto-Tupí-Guaraní	YES
13689	k a k a - - - w - - -	KAKAW	514	3582	cacau1	COCOA	Tupinambá	0	kakaw	kakaw	64	Tupinambá_	COCOA	64.K.C 64.A.V 64.K.C 64.A.V 64.W.c	AXBYN	1 7 1 7 6	k a k a w	kakaw	2.0 1.5 1.75 1.3 0.8		
13690	- ɾ o ʔ ɨ - - - - - -	RUHI	519	3617	frio1	COLD	Tupinambá	0	ɾoʔɨ	roʔɨ	64	Tupinambá_	COLD	64.R.C 64.U.V 64.H.C 64.I.V	AXBZ	5 7 1 7	ɾ o ʔ ɨ	ɾoʔɨ	2.0 1.5 1.75 0.8		
13691	- u ɾ -	YR	543	3747	vir1	COME	Tupinambá	0	uɾ	ur	64	Tupinambá_	COME	64.Y.V 64.R.c	XN	7 5	u ɾ	uɾ	1.5 0.8		
13692	- - k ɨ - - - + w + a β -	KIKAB	528	3689 21 60	pente1	COMB	Tupinambá	0	kɨwaβ	kɨgʷaβ	64	Tupinambá_	LICE EAT NOMINALIZER	64.K.C 64.I.V 64.K.C 64.A.V 64.B.c	AXBYN	1 7 1 7 3	k ɨ + w + a β	kɨwaβ	2.0 1.5 1.75 1.3 0.8		
13693	- a β a t i	ABATI	554	3808	milho1	CORN / MAIZE	Tupinambá	0	aβati	aβati	64	Tupinambá_	CORN	64.A.V 64.B.C 64.A.V 64.T.C 64.I.V	XBYBZ	7 3 7 1 7	a β a t i	aβati	1.5 1.75 1.3 1.75 0.8		
13694	- a m i n i j u - - -	AMINIJY	559	3879	algodao1	COTTON	Tupinambá	0	aminiju	aminiju	64	Tupinambá_	COTTON	64.A.V 64.M.C 64.I.V 64.N.C 64.I.V 64.J.C 64.Y.V	XBYBYBZ	7 4 7 4 7 6 7	a m i n i j u	aminiju	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
13695	- u - - - s á	YSA	565	3950	carangueijo	CRAB	Tupinambá	0	usá	usá/a	64	Tupinambá_	CRAB	64.Y.V 64.S.C 64.A.V	XBZ	7 3 7	u s á	usá / waɲumĩ / aɾatu	1.5 1.75 0.8		
13696	w a - - - ɲ u - m ĩ	KANYMI	564	3946	carangueijo	CRAB	Tupinambá	0	waɲumĩ	gw/gʷaɲumĩ	64	Tupinambá_	CRAB	64.K.C 64.A.V 64.N.C 64.Y.V 64.M.C 64.I.V	AXBYBZ	1 7 4 7 4 7	w a ɲ u m ĩ	usá / waɲumĩ / aɾatu	2.0 1.5 1.75 1.3 1.75 0.8		
13697	- a ɾ a t - u - - -	ARATY	564	3946	carangueijo	CRAB	Tupinambá	0	aɾatu	aratu	64	Tupinambá_	CRAB	64.A.V 64.R.C 64.A.V 64.T.C 64.Y.V	XBYBZ	7 5 7 1 7	a ɾ a t u	usá / waɲumĩ / aɾatu	1.5 1.75 1.3 1.75 0.8		
13698	- k ɨ j u - - - - - -	KIJY	571	3991	grilo1	CRICKET (zool)	Tupinambá	0	kɨju	kɨju	64	Tupinambá_	CRICKET	64.K.C 64.I.V 64.J.C 64.Y.V	AXBZ	1 7 6 7	k ɨ j u	kɨju	2.0 1.5 1.75 0.8		
13699	- j a s e ʔ o	JASEHU	578	4035	chorar1	CRY	Tupinambá	0	jaseʔo	jaseʔo	64	Tupinambá_	CRY	64.J.C 64.A.V 64.S.C 64.E.V 64.H.C 64.U.V	AXBYBZ	6 7 3 7 1 7	j a s e ʔ o	jaseʔo	2.0 1.5 1.75 1.3 1.75 0.8		
13700	ɲ a t i ʔ ũ	MYTY	1021	10796	mutum1	GNAT / PIUM	Tupinambá	0	ɲatiʔũ	mutũ	64	Tupinambá_	MOSQUITO	64.M.C 64.Y.V 64.T.C 64.Y.V	AXBZ	4 7 1 7	ɲ a t i ʔ ũ	ɲatiʔũ / jetiŋa	2.0 1.5 1.75 0.8		
13701	- k ɨ t - ĩ - - - -	KITI	582	9533	cortar1	CUT	Tupinambá	0	kɨtĩ	kɨtĩ	64	Tupinambá_	CUT	64.K.C 64.I.V 64.T.C 64.I.V	AXBZ	1 7 1 7	k ɨ t ĩ	kɨtĩ / ʔab	2.0 1.5 1.75 0.8		
13702	- p o ɾ a s e j	PURASEJ	590	4165	dancar1	DANCE	Tupinambá	0	poɾasej	porasej	64	Tupinambá_	DANCE	64.P.C 64.U.V 64.R.C 64.A.V 64.S.C 64.E.V 64.J.c	AXBYBYN	1 7 5 7 3 7 6	p o ɾ a s e j	poɾasej	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
13703	t a ʔ ɨ ɾ	TAHIRA	607	4219	filhademulher	DAUGHTER OF WOMAN	Tupinambá	0	taʔɨɾ	taʔɨra	64	Tupinambá_	DAUGHTER	64.T.C 64.A.V 64.H.C 64.I.V 64.R.C 64.A.V	AXBYBZ	1 7 1 7 5 7	t a ʔ ɨ ɾ	taʔɨɾ	2.0 1.5 1.75 1.3 1.75 0.8		
13704	t a j ɨ ɾ	TAJIRA	602	4219	filhadehomem	DAUGHTER OF MAN	Tupinambá	0	tajɨɾ	tajɨra	64	Tupinambá_	DAUGHTER	64.T.C 64.A.V 64.J.C 64.I.V 64.R.C 64.A.V	AXBYBZ	1 7 6 7 5 7	t a j ɨ ɾ	tajɨɾ	2.0 1.5 1.75 1.3 1.75 0.8		
13705	- - - a ɾ - - -	AR	612	4346	dia1	DAY	Tupinambá	0	aɾ	ar	64	Tupinambá_	DAY	64.A.V 64.R.c	XN	7 5	a ɾ	aɾ	1.5 0.8		
13706	s w a s u	SWASY	621	4406	veado1	DEER	Tupinambá	0	swasu	swasu	64	Tupinambá_	DEER	64.S.C 64.W.C 64.A.V 64.S.C 64.Y.V	ACXBZ	3 6 7 3 7	s w a s u	swasu	2.0 1.5 1.5 1.75 0.8		
13707	k a + ʔ a β	KAHAB	630	4470 2122	defecar1	DEFECATE	Tupinambá	0	kaʔaβ	kaʔaβ	64	Tupinambá_	FOREST OPEN	64.K.C 64.A.V 64.H.C 64.A.V 64.B.c	AXBYN	1 7 1 7 3	k a + ʔ a β	kaʔaβ	2.0 1.5 1.75 1.3 0.8		
13708	- m a n o	MANU	636	4510	morrer1	DIE	Tupinambá	0	mano	mano	64	Tupinambá_	DIE	64.M.C 64.A.V 64.N.C 64.U.V	AXBZ	4 7 4 7	m a n o	mano	2.0 1.5 1.75 0.8		
13709	ɨ β ɨ + k oi	IBIKUJ	645	4578 14	cavar12	DIG	Tupinambá	0	ɨβɨkoj	ɨβɨkoj	64	Tupinambá_	EARTH DIG	64.I.V 64.B.C 64.I.V 64.K.C 64.U.V 64.J.c	XBYBYN	7 3 7 1 7 6	ɨ β ɨ + k oi	ɨβɨkoj	1.5 1.75 1.3 1.75 1.3 0.8		
13710	s ɨ ɾ	SIRA	654	4614	varadeescavacao	DIGGING STICK	Tupinambá	0	sɨɾ	sɨra	64	Tupinambá_	DIGGING	64.S.C 64.I.V 64.R.C 64.A.V	AXBZ	3 7 5 7	s ɨ ɾ	sɨɾ	2.0 1.5 1.75 0.8		
13711	- - k ɨ ʔ a -	KIHA	659	4619	sujo1	DIRTY	Tupinambá	0	kɨʔa	kɨʔa	64	Tupinambá_	DIRTY	64.K.C 64.I.V 64.H.C 64.A.V	AXBZ	1 7 1 7	k ɨ ʔ a	kɨʔa	2.0 1.5 1.75 0.8		
13712	- a k o	AKU	672	4672	fazer1	DO / MAKE	Tupinambá	0	ako	ako	64	Tupinambá_	DO	64.A.V 64.K.C 64.U.V	XBZ	7 1 7	a k o	ako	1.5 1.75 0.8		
13713	ia w a ɾ	JAWAR	676	4730	cachorrocao1	DOG	Tupinambá	0	jawaɾ	jawar	64	Tupinambá_	JAGUAR	64.J.C 64.A.V 64.W.C 64.A.V 64.R.c	AXBYN	6 7 6 7 5	ia w a ɾ	jawaɾ	2.0 1.5 1.75 1.3 0.8		
13714	o k + e n	UKENA	683	8870 11053	porta	DOOR	Tupinambá	0	okena	okena	64	Tupinambá_	HOUSE MOUTH	64.U.V 64.K.C 64.E.V 64.N.C 64.A.V	XBYBZ	7 1 7 4 7	o k + e n	okena	1.5 1.75 1.3 1.75 0.8		
13715	- - - - kʷ a t ia - - ɾ -	MUJEKAPA	693	4827	pintardesenhar	DRAW / PAINT	Tupinambá	0	kʷatiaɾ	mojegʷapa	64	Tupinambá_	DRAW	64.M.C 64.U.V 64.J.C 64.E.V 64.K.C 64.A.V 64.P.C 64.A.V	AXBYBYBZ	4 7 6 7 1 7 1 7	kʷ a t ia ɾ	kʷatiaɾ	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
13716	- ʔ u - -	HY	699	4886	beber1	DRINK (v)	Tupinambá	0	ʔu	ʔu	64	Tupinambá_	INGEST	64.H.C 64.Y.V	AX	1 7	ʔ u	ʔu	2.0 1.5		
13717	m o + t i n i ŋ	MUTININ	707	522 4953	secar1	DRY	Tupinambá	0	motiniŋ	motiniŋ	64	Tupinambá_	CAUSATIVE DRY	64.M.C 64.U.V 64.T.C 64.I.V 64.N.C 64.I.V 64.N.c	AXBYBYN	4 7 1 7 4 7 4	m o + t i n i ŋ	motiniŋ	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
13718	- - k a ŋ - -	KAN	716	5014	seco1	DRY (state)	Tupinambá	1	kaŋ	kaŋ	64	Tupinambá_	DRY	64.K.C 64.A.V 64.N.c	AXN	1 7 4	k a ŋ	kaŋ / kaʔẽ	2.0 1.5 0.8		
13719	- - ɨ b ɨ - -	IPI	728	5132	terrapais1	EARTH / LAND	Tupinambá	0	ɨbɨ	ɨbɨ	64	Tupinambá_	EARTH	64.I.V 64.P.C 64.I.V	XBZ	7 1 7	ɨ b ɨ	ɨbɨ	1.5 1.75 0.8	Of Cariban origin in Proto-Mawe-Awetí-Tupí-Guaraní	YES
13720	- - n - a m/b - i - - - - - - -	NAPI	720	5067	orelha1	EAR	Tupinambá	0	nambi	namb/ⁿbi	64	Tupinambá_	EAR	64.N.C 64.A.V 64.P.C 64.I.V	AXBZ	4 7 1 7	n a m/b i	nambi	2.0 1.5 1.75 0.8		
13721	k a ɾ + u	KARY	734	5199 12	comer1	EAT (intr.)	Tupinambá	0	kaɾu	karu	64	Tupinambá_	_THING INGEST	64.K.C 64.A.V 64.R.C 64.Y.V	AXBZ	1 7 5 7	k a ɾ + u	kaɾu	2.0 1.5 1.75 0.8		
13722	- - - - - ʔ u -	YH	735	2172	comer1	EAT (tr.)	Tupinambá	0	ʔu	uʔ	64	Tupinambá_	EAT	64.Y.V 64.H.c	XN	7 1	ʔ u	ʔu	1.5 0.8		
13723	- - u p - i ʔ a	YPIHA	743	5298	ovo1	EGG	Tupinambá	0	upiʔa	upiʔa	64	Tupinambá_	EGG	64.Y.V 64.P.C 64.I.V 64.H.C 64.A.V	XBYBZ	7 1 7 1 7	u p i ʔ a	upiʔa	1.5 1.75 1.3 1.75 0.8		
13724	- - - a m/b a - - + ʔ ɨ β	APAHIB	439	3232 309	embaubaimbauba1	CECROPIA	Tupinambá	0	ambaʔɨβ	amb/ⁿbaʔɨβ	64	Tupinambá_	CECROPIA TREE	64.A.V 64.P.C 64.A.V 64.H.C 64.I.V 64.B.c	XBYBYN	7 1 7 1 7 3	a m/b a + ʔ ɨ β	ambaʔɨβ	1.5 1.75 1.3 1.75 1.3 0.8		
13725	p u ɾ a k e	PYRAKE	748	5359	enguiapeixeeletricoporaque1	EEL	Tupinambá	0	puɾake	purake	64	Tupinambá_	EEL	64.P.C 64.Y.V 64.R.C 64.A.V 64.K.C 64.E.V	AXBYBZ	1 7 5 7 1 7	p u ɾ a k e	puɾake	2.0 1.5 1.75 1.3 1.75 0.8		
13726	- i k e	IKE	759	5400	entrar1	ENTER	Tupinambá	0	ike	ike	64	Tupinambá_	ENTER	64.I.V 64.K.C 64.E.V	XBZ	7 1 7	i k e	ike	1.5 1.75 0.8		
13727	- - - e s a	ESA	771	5453	olho1	EYE	Tupinambá	0	esa	esa	64	Tupinambá_	EYE	64.E.V 64.S.C 64.A.V	XBZ	7 3 7	e s a	esa	1.5 1.75 0.8		
13728	- - o β -	UB	776	5524	cararostoface1	FACE	Tupinambá	0	oβ	oβ	64	Tupinambá_	FACE	64.U.V 64.B.c	XN	7 3	o β	oβ	1.5 0.8		
13729	ʔ a r	WARI	782	5575	cair1	FALL	Tupinambá	0	ʔar	wá/ari	64	Tupinambá_	FALL	64.W.C 64.A.V 64.R.C 64.I.V	AXBZ	6 7 5 7	ʔ a r	ʔar / kuj	2.0 1.5 1.75 0.8		
13730	kʷ e + p e	KEPE	791	5635 768	longe3	FAR	Tupinambá	0	kʷepe	kʷepe	64	Tupinambá_	FAR _LOCATIVE	64.K.C 64.E.V 64.P.C 64.E.V	AXBZ	1 7 1 7	kʷ e + p e	kʷepe	2.0 1.5 1.75 0.8		
13731	- k - a β - - - - -	KAB	797	5696	gordurabanha1	FAT / GREASE	Tupinambá	0	kaβ	kaβ	64	Tupinambá_	FAT	64.K.C 64.A.V 64.B.c	AXN	1 7 3	k a β	kaβ	2.0 1.5 0.8		
13732	- - - u β - -	YB	802	5755	pai1	FATHER	Tupinambá	0	uβ	uβ	64	Tupinambá_	FATHER	64.Y.V 64.B.c	XN	7 3	u β	uβ	1.5 0.8		
13733	s ɨ - k ɨ j e	SIKIJE	809	5830	temertermedo1	FEAR / BE AFRAID	Tupinambá	0	sɨkɨje	sɨkɨje	64	Tupinambá_	FEAR	64.S.C 64.I.V 64.K.C 64.I.V 64.J.C 64.E.V	AXBYBZ	3 7 1 7 6 7	s ɨ k ɨ j e	sɨkɨje	2.0 1.5 1.75 1.3 1.75 0.8		
13734	- a β a	ABA	3508	1667	penapluma	FEATHER	Tupinambá	0	aβa	aβa	64	Tupinambá_	FEATHER	64.A.V 64.B.C 64.A.V	XBZ	7 3 7	a β a	aβa	1.5 1.75 0.8		
13735	- - pʷ ã - -	PA	823	5942	dedo1	FINGER	Tupinambá	0	pʷã	pʷã	64	Tupinambá_	FINGER	64.P.C 64.A.V	AX	1 7	pʷ ã	pʷã	2.0 1.5		
13736	- t a t a	TATA	833	6003	fogo1	FIRE	Tupinambá	0	tata	tata	64	Tupinambá_	FIRE	64.T.C 64.A.V 64.T.C 64.A.V	AXBZ	1 7 1 7	t a t a	tata	2.0 1.5 1.75 0.8		
13737	- - m a mʷ - - a -	MAMA	839	6078	vagalumepirilampo1	FIREFLY / GLOWWORM	Tupinambá	0	mamwa	mamʷa	64	Tupinambá_	FIREFLY	64.M.C 64.A.V 64.M.C 64.A.V	AXBZ	4 7 4 7	m a mʷ a	mamwa	2.0 1.5 1.75 0.8		
13738	j e + p e ʔ + a β -	JEPEHAB	854	6121 6117 30	lenha1	FIREWOOD	Tupinambá	0	jepeʔaβ	jepeʔaβ	64	Tupinambá_	_REFL _HEAT NOMZ	64.J.C 64.E.V 64.P.C 64.E.V 64.H.C 64.A.V 64.B.c	AXBYBYN	6 7 1 7 1 7 3	j e + p e ʔ + a β	jepeʔaβ	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
13739	- p i ɾ - a -	PIRA	862	6174	peixe1	FISH	Tupinambá	0	piɾa	pira	64	Tupinambá_	FISH	64.P.C 64.I.V 64.R.C 64.A.V	AXBZ	1 7 5 7	p i ɾ a	piɾa	2.0 1.5 1.75 0.8		
13740	p i n/d á	PITA	868	6249	anzol1	FISHHOOK	Tupinambá	0	pindá	pind/ⁿdá/a	64	Tupinambá_	FISHHOOK	64.P.C 64.I.V 64.T.C 64.A.V	AXBZ	1 7 1 7	p i n/d á	pindá	2.0 1.5 1.75 0.8		
13741	- - p e β - -	PEB	878	6280	planoliso1	FLAT	Tupinambá	0	peβ	peβ	64	Tupinambá_	FLAT	64.P.C 64.E.V 64.B.c	AXN	1 7 3	p e β	peβ	2.0 1.5 0.8		
13742	t u ŋ - u s u	TYNYSY	885	6323	pulga	FLEA / CHIGGER	Tupinambá	0	tuŋusu	tuŋusu	64	Tupinambá_	FLEA	64.T.C 64.Y.V 64.N.C 64.Y.V 64.S.C 64.Y.V	AXBYBZ	1 7 4 7 3 7	t u ŋ u s u	tuŋusu	2.0 1.5 1.75 1.3 1.75 0.8		
13743	- - o ʔ o - - - - -	UHU	891	6366	carne1	FLESH / MEAT	Tupinambá	0	oʔo	oʔo	64	Tupinambá_	FLESH	64.U.V 64.H.C 64.U.V	XBZ	7 1 7	o ʔ o	oʔo	1.5 1.75 0.8		
13744	u + ʔ i	YHI	903	6432 949	farinha1	FLOUR	Tupinambá	0	uʔi	uʔi	64	Tupinambá_	EAT DIMINUTIVE	64.Y.V 64.H.C 64.I.V	XBZ	7 1 7	u + ʔ i	uʔi	1.5 1.75 0.8		
13745	- - p o t ɨ ɾ - - - - - -	PUTIR	917	6486	flor1	FLOWER	Tupinambá	0	potɨɾ	potɨr	64	Tupinambá_	FLOWER	64.P.C 64.U.V 64.T.C 64.I.V 64.R.c	AXBYN	1 7 1 7 5	p o t ɨ ɾ	potɨɾ	2.0 1.5 1.75 1.3 0.8		
13746	- β e β e - - -	BEBE	923	6551	voar1	FLY	Tupinambá	0	βeβe	βeβe	64	Tupinambá_	FLY	64.B.C 64.E.V 64.B.C 64.E.V	AXBZ	3 7 3 7	β e β e	βeβe	2.0 1.5 1.75 0.8		
13747	m e ɾ u - - - - - -	MERY	930	6604	mosca2	FLY (insect)	Tupinambá	0	meɾu	meru	64	Tupinambá_	FLY	64.M.C 64.E.V 64.R.C 64.Y.V	AXBZ	4 7 5 7	m e ɾ u	meɾu	2.0 1.5 1.75 0.8		
13748	e m/b i + ʔ u	EPIHY	937	770 5199	comida1	FOOD	Tupinambá	0	embiʔu	emb/ⁿbiʔu	64	Tupinambá_	NOMINALIZER INGEST	64.E.V 64.P.C 64.I.V 64.H.C 64.Y.V	XBYBZ	7 1 7 1 7	e m/b i + ʔ u	embiʔu	1.5 1.75 1.3 1.75 0.8		
13749	- - p ɨ - - - -	PI	944	6716	pe1	FOOT	Tupinambá	0	pɨ	pɨ	64	Tupinambá_	FOOT	64.P.C 64.I.V	AX	1 7	p ɨ	pɨ	2.0 1.5		
13750	e s a + ɾ ai	ESARAJ	947	5453 114	esquecer1	FORGET	Tupinambá	0	esaɾai	esaraj	64	Tupinambá_	EYE ?	64.E.V 64.S.C 64.A.V 64.R.C 64.A.V 64.J.c	XBYBYN	7 3 7 5 7 6	e s a + ɾ ai	esaɾai	1.5 1.75 1.3 1.75 1.3 0.8		
13751	- i - - - - - - - - r u n ɨ - - - - -	IRYNI	954	6818	quatro1	FOUR	Tupinambá	0	irunɨ	irunɨ	64	Tupinambá_	FOUR	64.I.V 64.R.C 64.Y.V 64.N.C 64.I.V	XBYBZ	7 5 7 4 7	i r u n ɨ	irunɨ	1.5 1.75 1.3 1.75 0.8		
13752	k u r u - - - r u - - - -	KYRYRY	967	6875	sapo1	FROG / TOAD	Tupinambá	0	kururu	kururu	64	Tupinambá_	FROG	64.K.C 64.Y.V 64.R.C 64.Y.V 64.R.C 64.Y.V	AXBYBZ	1 7 5 7 5 7	k u r u r u	kururu	2.0 1.5 1.75 1.3 1.75 0.8		
13753	- i - β - - - - -	IB	974	6941	fruta1	FRUIT	Tupinambá	0	iβ	iβ	64	Tupinambá_	FRUIT	64.I.V 64.B.c	XN	7 3	i β	iβ	1.5 0.8		
13754	- ɨ n ɨ s e m - -	INISEM	981	6993	cheio4	FULL	Tupinambá	0	ɨnɨsem	ɨnɨsem	64	Tupinambá_	FULL	64.I.V 64.N.C 64.I.V 64.S.C 64.E.V 64.M.c	XBYBYN	7 4 7 3 7 4	ɨ n ɨ s e m	ɨnɨsem	1.5 1.75 1.3 1.75 1.3 0.8		
13755	j a n ɨ + p a β a	JANIPABA	988	7048 3230	jenipapogenipa1	GENIPA	Tupinambá	0	janɨpaβa	janɨpaβa	64	Tupinambá_	OIL ?	64.J.C 64.A.V 64.N.C 64.I.V 64.P.C 64.A.V 64.B.C 64.A.V	AXBYBYBZ	6 7 4 7 1 7 3 7	j a n ɨ + p a β a	janɨpaβa	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
13756	k u j a t ã j - - - - -	KYJATAJ	999	7132	menina1	GIRL	Tupinambá	0	kujatãj	kujatãj	64	Tupinambá_	GIRL	64.K.C 64.Y.V 64.J.C 64.A.V 64.T.C 64.A.V 64.J.c	AXBYBYN	1 7 6 7 1 7 6	k u j a t ã j	kujatãj	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
13757	m e ʔ e ŋ	MEHEN	533	29	dar2	GIVE	Tupinambá	0	meʔeŋ	meʔeŋ	64	Tupinambá_	GIVE	64.M.C 64.E.V 64.H.C 64.E.V 64.N.c	AXBYN	4 7 1 7 4	m e ʔ e ŋ	meʔeŋ	2.0 1.5 1.75 1.3 0.8		
13758	- s o -	SY	1026	7301	ir1	GO	Tupinambá	0	so	su	64	Tupinambá_	GO	64.S.C 64.Y.V	AX	3 7	s o	so	2.0 1.5		YES
13759	- j eu p i ɾ -	JEPIR	1031	7366	subir1	GO UP	Tupinambá	0	jeupiɾ	jeupir	64	Tupinambá_	GO	64.J.C 64.E.V 64.P.C 64.I.V 64.R.c	AXBYN	6 7 1 7 5	j eu p i ɾ	jeupiɾ	2.0 1.5 1.75 1.3 0.8		
13760	- k - a - - t u	KATY	1037	7417	bombem1	GOOD / WELL	Tupinambá	0	katu	katu	64	Tupinambá_	GOOD	64.K.C 64.A.V 64.T.C 64.Y.V	AXBZ	1 7 1 7	k a t u	katu	2.0 1.5 1.75 0.8		
13761	- - - - - a m ĩ j a	AMIJA	1042	7485	avo1	GRANDFATHER	Tupinambá	0	amĩja	amĩja	64	Tupinambá_	GRANDFATHER	64.A.V 64.M.C 64.I.V 64.J.C 64.A.V	XBYBZ	7 4 7 6 7	a m ĩ j a	amĩja	1.5 1.75 1.3 1.75 0.8	Of Carib origin	YES
13762	k a + p i ʔ i	KAPIHI	1047	7547 139	grama1	GRASS	Tupinambá	0	kapiʔi	kapiʔi	64	Tupinambá_	GRASS THIN	64.K.C 64.A.V 64.P.C 64.I.V 64.H.C 64.I.V	AXBYBZ	1 7 1 7 1 7	k a + p i ʔ i	kapiʔi	2.0 1.5 1.75 1.3 1.75 0.8		
13763	- - - o β ɨ - -	UBI	1060	2030	verde2	GREEN	Tupinambá	1	oβɨ	oβɨ	64	Tupinambá_	BLUE.GREEN	64.U.V 64.B.C 64.I.V	XBZ	7 3 7	o β ɨ	oβɨ	1.5 1.75 0.8		
13764	a k a k u w a β	AKAKYKAB	1075	7697	crescer3	GROW	Tupinambá	0	akakuwaβ	akakugʷaβ	64	Tupinambá_	GROW	64.A.V 64.K.C 64.A.V 64.K.C 64.Y.V 64.K.C 64.A.V 64.B.c	XBYBYBYN	7 1 7 1 7 1 7 3	a k a k u w a β	akakuwaβ	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8		
13765	s e n e m/b - - ɨ	SENEPI	1067	7671	camaleao3	GREEN IGUANA	Tupinambá	0	senembɨ	senemb/ⁿbɨ	64	Tupinambá_	GREEN_IGUANA	64.S.C 64.E.V 64.N.C 64.E.V 64.P.C 64.I.V	AXBYBZ	3 7 4 7 1 7	s e n e m/b ɨ	senembɨ	2.0 1.5 1.75 1.3 1.75 0.8		
13766	j a k u - - - - - - - -	JAKY	1088	7735	jacu1	GUAN / JACU	Tupinambá	0	jaku	jaku	64	Tupinambá_	GUAN	64.J.C 64.A.V 64.K.C 64.Y.V	AXBZ	6 7 1 7	j a k u	jaku	2.0 1.5 1.75 0.8		
13767	- - - - - - a β - - -	AB	1096	7781	cabelo1	HAIR	Tupinambá	0	aβ	aβ	64	Tupinambá_	HAIR	64.A.V 64.B.c	XN	7 3	a β	aβ	1.5 0.8		
13768	i n ĩ	YPAB	1100	7848	rede2	HAMMOCK	Tupinambá	0	inĩ	upaβ	64	Tupinambá_	HAMMOCK	64.Y.V 64.P.C 64.A.V 64.B.c	XBYN	7 1 7 3	i n ĩ	inĩ	1.5 1.75 1.3 0.8		
13769	p o - - - - -	PU	1110	7917	mao1	HAND	Tupinambá	0	po	po	64	Tupinambá_	HAND	64.P.C 64.U.V	AX	1 7	p o	po	2.0 1.5		
